loss,mae,val_loss,val_mae,learning_rate
0.5515255928039551,0.5394601821899414,0.4546234905719757,0.49069342017173767,0.0010000000474974513
0.4754417836666107,0.4979117810726166,0.45684128999710083,0.48898670077323914,0.0010000000474974513
0.45616236329078674,0.48660385608673096,0.41245120763778687,0.45956292748451233,0.0010000000474974513
0.44089972972869873,0.4773070514202118,0.4030476212501526,0.4527862071990967,0.0010000000474974513
0.43111249804496765,0.4717242419719696,0.3930595815181732,0.44538116455078125,0.0010000000474974513
0.42542269825935364,0.4682542383670807,0.4037961959838867,0.45181506872177124,0.0010000000474974513
0.4175274968147278,0.46275991201400757,0.4139925539493561,0.46171945333480835,0.0010000000474974513
0.41971251368522644,0.46432122588157654,0.38047489523887634,0.436002641916275,0.0010000000474974513
0.4073428511619568,0.4566289186477661,0.374827116727829,0.4324328601360321,0.0010000000474974513
0.4104421138763428,0.45807981491088867,0.36984485387802124,0.4283880591392517,0.0010000000474974513
0.4070424735546112,0.4561530649662018,0.36830881237983704,0.4274645447731018,0.0010000000474974513
0.4021402895450592,0.4532458186149597,0.3700355589389801,0.42927348613739014,0.0010000000474974513
0.39820238947868347,0.45129212737083435,0.3641708195209503,0.4239937961101532,0.0010000000474974513
0.39570656418800354,0.4489717483520508,0.3654421865940094,0.42449328303337097,0.0010000000474974513
0.3965708017349243,0.44971007108688354,0.36387497186660767,0.4242728650569916,0.0010000000474974513
0.3945654630661011,0.4487987458705902,0.35828280448913574,0.4197121262550354,0.0010000000474974513
0.3890533745288849,0.4451022744178772,0.37928247451782227,0.4365825951099396,0.0010000000474974513
0.38883107900619507,0.44601985812187195,0.35721710324287415,0.41925832629203796,0.0010000000474974513
0.38404613733291626,0.44285842776298523,0.35660022497177124,0.4187341630458832,0.0010000000474974513
0.38207560777664185,0.4421283006668091,0.3585593104362488,0.4200892150402069,0.0010000000474974513
0.37999606132507324,0.44049739837646484,0.3551429510116577,0.4179164469242096,0.0010000000474974513
0.3771218955516815,0.4387688934803009,0.3530184328556061,0.4160653352737427,0.0010000000474974513
0.3762253224849701,0.4384605586528778,0.352323442697525,0.4154956042766571,0.0010000000474974513
0.3763708174228668,0.4393097460269928,0.3544984459877014,0.4173913896083832,0.0010000000474974513
0.3732133209705353,0.4369928240776062,0.3545677363872528,0.41820332407951355,0.0010000000474974513
0.3702372908592224,0.4347802698612213,0.35033926367759705,0.41424599289894104,0.0010000000474974513
0.3706381320953369,0.4355827271938324,0.35160568356513977,0.41494351625442505,0.0010000000474974513
0.36905789375305176,0.4342171251773834,0.348667711019516,0.41321080923080444,0.0010000000474974513
0.36711013317108154,0.43300384283065796,0.3483482599258423,0.4129464626312256,0.0010000000474974513
0.3680626451969147,0.4337865710258484,0.38324636220932007,0.42825475335121155,0.0010000000474974513
0.36842745542526245,0.4339926838874817,0.35017886757850647,0.4146236181259155,0.0010000000474974513
0.36637502908706665,0.43264803290367126,0.34627029299736023,0.41159093379974365,0.0010000000474974513
0.36430782079696655,0.43095672130584717,0.34608420729637146,0.41121265292167664,0.0010000000474974513
0.36775219440460205,0.43279218673706055,0.3722246587276459,0.4331984519958496,0.0010000000474974513
0.37443700432777405,0.43640631437301636,0.34929361939430237,0.41341090202331543,0.0010000000474974513
0.3682209551334381,0.4336649775505066,0.3437942564487457,0.40856313705444336,0.0010000000474974513
0.36165744066238403,0.4289916753768921,0.3613608777523041,0.4204227924346924,0.0010000000474974513
0.3639199435710907,0.43111133575439453,0.3450727164745331,0.4111050069332123,0.0010000000474974513
0.36437422037124634,0.4312564432621002,0.35108086466789246,0.4149945378303528,0.0010000000474974513
0.35643765330314636,0.42506662011146545,0.3397315740585327,0.4054696261882782,0.0005000000237487257
0.35323861241340637,0.42358481884002686,0.3387923836708069,0.40475571155548096,0.0005000000237487257
0.3513643443584442,0.42261946201324463,0.3364114463329315,0.4027894139289856,0.0005000000237487257
0.3511035740375519,0.4224790334701538,0.3354777991771698,0.40192219614982605,0.0005000000237487257
0.3505123555660248,0.42233291268348694,0.3353060185909271,0.4018823206424713,0.0005000000237487257
0.3498345613479614,0.42168259620666504,0.3355543911457062,0.4022659361362457,0.0005000000237487257
0.3492661118507385,0.42138275504112244,0.33620718121528625,0.40270641446113586,0.0005000000237487257
0.34825411438941956,0.42066559195518494,0.335070937871933,0.4017798602581024,0.0005000000237487257
0.3491259813308716,0.4215227961540222,0.3359006345272064,0.40225276350975037,0.0005000000237487257
0.3487916886806488,0.421184778213501,0.3373374938964844,0.4043649435043335,0.0005000000237487257
0.3482683300971985,0.420920193195343,0.3344307839870453,0.4016556441783905,0.0005000000237487257
